Date,Receipt,Description,Amount
03/27/2024,,AMAZON.COM          AMZN.COM/BILL       WA,29.43
03/19/2024,,AMAZON MARKEPLACE NA PA,3.25
03/13/2024,,MICROSOFT#G041383352MSBILL.INFO,0.03
03/12/2024,,ADOBE SYSTEMS Adobe SAN JOSE            CA,10.85
03/08/2024,,AMAZON MARKEPLACE NA PA,37.95
03/08/2024,,AMAZON.COM          AMZN.COM/BILL       WA,9.58
03/07/2024,,AMAZON.COM          AMZN.COM/BILL       WA,7.38
03/04/2024,,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-386.27
03/04/2024,,AMAZON MARKEPLACE NA PA,26.06
03/03/2024,,INTUIT *TURBOTAX    800-446-8848        CA,193.35
03/01/2024,,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-14.39
