Date,Receipt,Description,Amount
02/28/2024,,MOBILE PAYMENT - THANK YOU,-298.43
02/25/2024,,AMAZON.COM          AMZN.COM/BILL       WA,4.63
02/25/2024,,AMAZON.COM          AMZN.COM/BILL       WA,10.75
02/25/2024,,AMAZON.COM          AMZN.COM/BILL       WA,11.34
02/23/2024,,AMAZON.COM          AMZN.COM/BILL       WA,2.68
02/23/2024,,AMAZON.COM          AMZN.COM/BILL       WA,42.95
02/16/2024,,AMAZON MARKEPLACE NA PA,6.51
02/16/2024,,AMZ*HUMBLEBUNDLE.COMPAY.AMAZON.CO       WA,20.00
02/15/2024,,MICROSOFT#G038832052MSBILL.INFO,0.16
02/13/2024,,AMAZON MARKEPLACE NA PA,6.51
02/13/2024,,AMAZON MARKEPLACE NA PA,19.53
02/13/2024,,AMAZON.COM          AMZN.COM/BILL       WA,2.88
02/12/2024,,ADOBE SYSTEMS Adobe SAN JOSE            CA,10.85
02/08/2024,,AMAZON MARKEPLACE NA PA,2.65
02/06/2024,,AMAZON MARKETPLACE PAMZN.COM/BILL       WA,97.75
02/05/2024,,AMAZON SHOP WITH POINTS CREDIT,-97.75
02/04/2024,,AMAZON.COM          AMZN.COM/BILL       WA,38.01
02/02/2024,,AMAZON MARKEPLACE NA PA,14.11
02/02/2024,,AMAZON MARKEPLACE NA PA,14.39
02/02/2024,,OPENAI              SAN FRANCISCO       CA,10.86
02/02/2024,,OPENAI              SAN FRANCISCO       CA,43.45
