Date,Receipt,Description,Amount
06/28/2024,,AMAZON MARKETPLACE PAMZN.COM/BILL       WA,13.02
06/28/2024,,AMAZON.COM          AMZN.COM/BILL       WA,6.05
06/28/2024,,AMAZON.COM          AMZN.COM/BILL       WA,51.58
06/24/2024,,AMAZON MARKEPLACE NA PA,129.26
06/24/2024,,AMAZON MARKEPLACE NA PA,244.40
06/23/2024,,AMAZON MARKEPLACE NA PA,9.77
06/22/2024,,AMAZON.COM          AMZN.COM/BILL       WA,48.71
06/12/2024,,ADOBE Adobe Systems SAN JOSE            CA,10.85
06/11/2024,,AMAZON.COM          AMZN.COM/BILL       WA,16.60
06/11/2024,,AMAZON.COM          AMZN.COM/BILL       WA,111.41
06/11/2024,,DISNEY PLUS ECOM    BURBANK             CA,1.99
06/09/2024,,MICROSOFT#G050122643MSBILL.INFO,0.03
06/05/2024,,AMAZON.COM          AMZN.COM/BILL       WA,6.51
06/04/2024,,AMAZON MARKETPLACE PAMZN.COM/BILL       WA,91.20
06/04/2024,,AMAZON SHOP WITH POINTS CREDIT,-91.20
06/03/2024,,AMAZON.COM          AMZN.COM/BILL       WA,2.82
06/03/2024,,AMAZON.COM          AMZN.COM/BILL       WA,4.12
06/03/2024,,AMAZON.COM          AMZN.COM/BILL       WA,5.41
06/03/2024,,AMAZON.COM          AMZN.COM/BILL       WA,8.66
06/03/2024,,AMAZON.COM          AMZN.COM/BILL       WA,8.66
06/03/2024,,AMAZON.COM          AMZN.COM/BILL       WA,8.66
06/03/2024,,AMAZON.COM          AMZN.COM/BILL       WA,15.90
06/03/2024,,AMAZON.COM          AMZN.COM/BILL       WA,35.97
06/02/2024,,AMAZON SHOP WITH POINTS CREDIT,-35.97
