Date,Receipt,Description,Amount
12/30/2023,,MOBILE PAYMENT - THANK YOU,-718.60
12/27/2023,,AMAZON MARKEPLACE NA PA,5.42
12/23/2023,,AMAZON.COM          AMZN.COM/BILL       WA,-228.10
12/20/2023,,EXPEDIA 727180973506EXPEDIA.COM         WA,311.96
12/19/2023,,AMAZON MARKEPLACE NA PA,61.71
12/19/2023,,NEW YORK STATE DMV NALBANY              NY,136.50
12/17/2023,,c.COM          AMZN.COM/BILL       WA,11.37
12/14/2023,,AMZ*SECONDIPITY.COM PAY.AMAZON.CO       WA,21.71
12/14/2023,,STORE               NEW HYDE PARK       NY,13.88
12/13/2023,,AMAZON MARKEPLACE NA PA,19.98
12/12/2023,,ADOBE PHOTOGPHY PLANSAN JOSE            CA,10.85
12/11/2023,,AMAZON.COM          AMZN.COM/BILL       WA,16.27
12/10/2023,,AMAZON.COM          AMZN.COM/BILL       WA,228.10
12/07/2023,,AMAZON.COM          AMZN.COM/BILL       WA,3.89
12/06/2023,,AMAZON.COM          AMZN.COM/BILL       WA,24.22
12/06/2023,,AMAZON.COM          AMZN.COM/BILL       WA,28.75
12/06/2023,,MICROSOFT*CLIPCHAMP MSBILL.INFO         WA,13.02
12/01/2023,,AMAZON.COM          AMZN.COM/BILL       WA,20.63
11/30/2023,,AMAZON MARKEPLACE NA PA,18.44
11/29/2023,,MOBILE PAYMENT - THANK YOU,-251.62
11/22/2023,,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-27.15
11/20/2023,,AMAZON MARKEPLACE NA PA,7.59
11/20/2023,,WALMART.COM 80096665BENTONVILLE         AR,-42.36
11/15/2023,,AMAZON.COM          AMZN.COM/BILL       WA,107.54
11/13/2023,,AMAZON MARKEPLACE NA PA,27.15
11/12/2023,,ADOBE SYSTEMS Adobe SAN JOSE            CA,10.85
11/11/2023,,AMAZON MARKEPLACE NA PA,17.80
11/09/2023,,WALMART.COM 80096665BENTONVILLE         AR,58.61
11/06/2023,,MICROSOFT*STORE     MSBILL.INFO,8.68
11/04/2023,,AMAZON MARKEPLACE NA PA,19.80
11/04/2023,,AMAZON MARKEPLACE NA PA,33.72
11/04/2023,,AMAZON.COM          AMZN.COM/BILL       WA,6.29
10/31/2023,,AMAZON MARKEPLACE NA PA,8.99
10/30/2023,,AMAZON MARKEPLACE NA PA,14.11
